Position,english_level,years_experience,cv_text,highlights,looking_for,additional_info
2D Animator,Advanced,3.0,"Creating all graphics and animations for a mobile game solo. Successfully managing two beginner illustrators on my team. Freelance illustration, brand logo and merch projects; Photo editing for photostocks and advertising; Creating characters, backgrounds, objects, character animations and UI for mobile games; I work in Photoshop, Illustrator, After Effects creating graphics in various styles. Can make stop-motion animation, frame-by-frame sprite animation, 2D character animation in After Effects and Unity. I speak English and Polish.",Creating all graphics and animations for a mobile game solo. Successfully managing two beginner illustrators on my team.,Not stated,"Freelance illustration, brand logo and merch projects; Photo editing for photostocks and advertising; Creating characters, backgrounds, objects, character animations and UI for mobile games; I work in Photoshop, Illustrator, After Effects creating graphics in various styles. Can make stop-motion animation, frame-by-frame sprite animation, 2D character animation in After Effects and Unity. I speak English and Polish."
2D Animator,Not stated,1.5,"Diplomas in digital drawing and Spine animation from ArtCraft CG SchoCertificateoma of The Ultimate Drawing Course - Beginner to Advanced - Jaysen Batchelor Certificate of The Adobe Illustrator Mega Course - From Beginner to Advanced - Alan Ayoubi Diploma ""Spine PRO: A complete 2D Caracter Animation Guid. Certification of The After Effects Motion Graphics Beast Course - Alan Ayoubi I drew several sketches for a volunteering project that helps homeless animals in Odesa, Ukraine. These pics were printed on merchandise (cups, bags, notebooks) of ""HomeMe Fest"" – the fest for shelter animals. I have created a cozy character project – from the first sketches to the final render and animated them. I drew it as a casual character for a mobile game. Digital artist and Spine animator with 1.5 years of experience in 2D drawing, illustration and animation. Worked as a freelancer creating various digital illustrations & animations. I`ll be happy to share the link to my portfolio in the chat I hope to find a company with an excellent corporate culture looking to work with a talented 2D animator, which will help me grow and believe in my skills and quick learning.","Diplomas in digital drawing and Spine animation from ArtCraft CG SchoCertificateoma of The Ultimate Drawing Course - Beginner to Advanced - Jaysen Batchelor Certificate of The Adobe Illustrator Mega Course - From Beginner to Advanced - Alan Ayoubi Diploma ""Spine PRO: A complete 2D Caracter Animation Guid. Certification of The After Effects Motion Graphics Beast Course - Alan Ayoubi I drew several sketches for a volunteering project that helps homeless animals in Odesa, Ukraine. These pics were printed on merchandise (cups, bags, notebooks) of ""HomeMe Fest"" – the fest for shelter animals. I have created a cozy character project – from the first sketches to the final render and animated them. I drew it as a casual character for a mobile game.","I hope to find a company with an excellent corporate culture looking to work with a talented 2D animator, which will help me grow and believe in my skills and quick learning.","Digital artist and Spine animator with 1.5 years of experience in 2D drawing, illustration and animation. Worked as a freelancer creating various digital illustrations & animations. I`ll be happy to share the link to my portfolio in the chat"
2D Animator,Intermediate,5.0,"For two years, I worked as a 2D Animator at Home Games studio, which is part of the renowned Playrix company. Earlier, while working at Animation studio ""Parovoz"", I was involved in 2D animation for the animated series ""Kate and Ef"". My primary responsibility was to ensure high-quality animation while collaborating with a team of professionals. 2021 - 2023. 2D Character Animator | VFX Artist «Home Games» Game Studio (Kyiv, Ukraine). «Playrix» Inner Studio. 2018 – 2021. 2D Character Animator. Animation studio ""Parovoz"" 2013-2018 Freelance 2D Animator • Angry Gran series (Aceviral, Sunderland UK). • Educational project for children (Kyiv, Ukraine). • Kit ^n^ Kate. «Toonbox» (Cyprus, Paphos). • Magic book. «Chin Up» (Belarus, Gomel). • Beardy Bodo. «Riki Group». • Kate and Ef . «Parovoz». • Orange cow. « Soyuzmultfilm». • Peak Truck. «RocketFox». • «Shoot Animation Studio». Skills • Spine 2D, • Adobe Animate, • Toon Boom Harmony, • After Effects, • Photoshop, Illustrator I'm currently oriented towards the position of 2D Animator (Spine).","For two years, I worked as a 2D Animator at Home Games studio, which is part of the renowned Playrix company. Earlier, while working at Animation studio ""Parovoz"", I was involved in 2D animation for the animated series ""Kate and Ef"". My primary responsibility was to ensure high-quality animation while collaborating with a team of professionals.",I'm currently oriented towards the position of 2D Animator (Spine).,"2021 - 2023. 2D Character Animator | VFX Artist «Home Games» Game Studio (Kyiv, Ukraine). «Playrix» Inner Studio. 2018 – 2021. 2D Character Animator. Animation studio ""Parovoz"" 2013-2018 Freelance 2D Animator • Angry Gran series (Aceviral, Sunderland UK). • Educational project for children (Kyiv, Ukraine). • Kit ^n^ Kate. «Toonbox» (Cyprus, Paphos). • Magic book. «Chin Up» (Belarus, Gomel). • Beardy Bodo. «Riki Group». • Kate and Ef . «Parovoz». • Orange cow. « Soyuzmultfilm». • Peak Truck. «RocketFox». • «Shoot Animation Studio». Skills • Spine 2D, • Adobe Animate, • Toon Boom Harmony, • After Effects, • Photoshop, Illustrator"
2D Animator,Not stated,2.0,"I started my career as an English teacher in China. After two years working there, I continued improving my English and getting more experience in different companies in Kharkiv and Lviv. I worked with kids, teens, and adults and, as a result, tried lots of teaching materials and techniques and always wanted to improve. All my classes are based on a schedule with a great variety of topics to learn. I used lots of interactive tasks for developing listening, speaking, and visual comprehension, did my best to bring better learning in a joyful way and enhancing the language skills of my students. Always build a collaborative and friendly classroom environment. Have a creative attitude to every lesson I prepare. I succeeded with long-term goals. I've had more than five years of profound English teaching, where I always grew in providing non-format classes and improving my time management skills. Increased collaboration skills too. I enhanced in helping students to prepare for specific exams or certifications. I decided to switch to a Graphic Design occupation after more than five years of teaching because that has always been a thing I wanted to do. I have worked for different SMM agencies and have been self-employed since 2019. I worked for ""NOWEDO"" SMM Agency from 2020 to 2021. Here I designed creatives and cooperated with other designers and product managers to deliver the best design solutions. Сontributed to translating tasks from foreign customers via Upwork and negotiated to clarify the details for a better job. As a self-employed GD, I developed organizational abilities, stayed focused under each stage of project development, and found common understanding while working with clients. Build successful visual communication under every requirement.",Not stated,Not stated,"I started my career as an English teacher in China. After two years working there, I continued improving my English and getting more experience in different companies in Kharkiv and Lviv. I worked with kids, teens, and adults and, as a result, tried lots of teaching materials and techniques and always wanted to improve. All my classes are based on a schedule with a great variety of topics to learn. I used lots of interactive tasks for developing listening, speaking, and visual comprehension, did my best to bring better learning in a joyful way and enhancing the language skills of my students. Always build a collaborative and friendly classroom environment. Have a creative attitude to every lesson I prepare. I succeeded with long-term goals. I've had more than five years of profound English teaching, where I always grew in providing non-format classes and improving my time management skills. Increased collaboration skills too. I enhanced in helping students to prepare for specific exams or certifications. I decided to switch to a Graphic Design occupation after more than five years of teaching because that has always been a thing I wanted to do. I have worked for different SMM agencies and have been self-employed since 2019. I worked for ""NOWEDO"" SMM Agency from 2020 to 2021. Here I designed creatives and cooperated with other designers and product managers to deliver the best design solutions. Сontributed to translating tasks from foreign customers via Upwork and negotiated to clarify the details for a better job. As a self-employed GD, I developed organizational abilities, stayed focused under each stage of project development, and found common understanding while working with clients. Build successful visual communication under every requirement."
2D Animator,Basic,11.0,"Character animation in Spine preparing graphics for animation rig assembly preparing graphics for animation animations of UI elements, environments, characters preparation of animation for integration into the project",Not stated,Not stated,"Character animation in Spine preparing graphics for animation rig assembly preparing graphics for animation animations of UI elements, environments, characters preparation of animation for integration into the project"
2D Animator,Basic,1.0,"Odessa State Agrarian University Studied plant cultures, their growing conditions, varieties of harmful parasites and chemicals used to eradicate them Bachelor of Science in Agricultural Biotechnology 2016– 2020 Kate Motion academy Completed 2D animation courses in 2021 Continued further studies to improve my skills in 2d animation Took additional courses in animation principles to broaden my knowledge. Freelance Projects 2022 I have collaborated with the marketing department to create digital and hand-drawn illustrations for numerous projects as well as 2D animations. Сreation of advertising animation for tattoo parlors and online stores Creation of animated NFT tokens Worked with art projects, animated and drawing collectible nft tokens, developed a creative direction. ""nifts.official"" • 2021 I hope to find an interesting creative job with decent pay, in a friendly team","Odessa State Agrarian University Studied plant cultures, their growing conditions, varieties of harmful parasites and chemicals used to eradicate them Bachelor of Science in Agricultural Biotechnology 2016– 2020 Kate Motion academy Completed 2D animation courses in 2021 Continued further studies to improve my skills in 2d animation Took additional courses in animation principles to broaden my knowledge.","I hope to find an interesting creative job with decent pay, in a friendly team","Freelance Projects 2022 I have collaborated with the marketing department to create digital and hand-drawn illustrations for numerous projects as well as 2D animations. Сreation of advertising animation for tattoo parlors and online stores Creation of animated NFT tokens Worked with art projects, animated and drawing collectible nft tokens, developed a creative direction. ""nifts.official"" • 2021"
2D Animator,Intermediate,3.0,"Progressing every day and finding my style. Although it is not something big, but for me it is important. Creating a small indie studio. Interaction with the team and discussion of any issues. My ideas were key in all projects. Work in a small company of indie developers. Creating graphics, levels, characters, animations for 2d games for android. To create graphics used Adobe Illustrator and Sketchbook. To create the animation used Dragon bones and Spriter.","Progressing every day and finding my style. Although it is not something big, but for me it is important. Creating a small indie studio. Interaction with the team and discussion of any issues. My ideas were key in all projects.",Not stated,"Work in a small company of indie developers. Creating graphics, levels, characters, animations for 2d games for android. To create graphics used Adobe Illustrator and Sketchbook. To create the animation used Dragon bones and Spriter."
2D Animator,Intermediate,2.0,"Hi! I'm Alla. I'm a 2d animator. I work in Spine, After Effects and Photoshop. I have experience in creating character animations like idle, walking, jumping, fighting, death etc and background, object animations. Also, I work with VFX effects. Please contact me for further details. Thank you! Spine, 2D animation, Photoshop, After Effects",Not stated,Not stated,"Hi! I'm Alla. I'm a 2d animator. I work in Spine, After Effects and Photoshop. I have experience in creating character animations like idle, walking, jumping, fighting, death etc and background, object animations. Also, I work with VFX effects. Please contact me for further details. Thank you! Spine, 2D animation, Photoshop, After Effects"
2D Animator,Not stated,2.0,"June 2022 – present time (Freelance) 2D Spine animator -Сreation of animation of characters, locations, UI -Creation slot animation - Project optimization skills September 2021– May 2022 (Full-time) 2D Spine animator Uni-Bit Studio Inc. - Create final, fully posed, colored, and in-between character animation based on provided storyboards - Embellish character action and emotion - Strong character acting ability, solid sense of comedic timing, high- quality draftsmanship, and drawing abilities - Use of strongly developed critical eye with attention to detail - Work closely with the Animation Supervisors and Leads - Defining, and maintaining high-end cinematic animations. - Assist in supporting and evolving the Design team with constructive feedback both technically and artistically. March 2021 – February 2022 (Part-time) 2D Spine animator Melior Games - Animate multiple loops and cycles of the main character - Create and update characters within the program Spine - Communicate with the Product Owner and Project Manager",Not stated,Not stated,"June 2022 – present time (Freelance) 2D Spine animator -Сreation of animation of characters, locations, UI -Creation slot animation - Project optimization skills September 2021– May 2022 (Full-time) 2D Spine animator Uni-Bit Studio Inc. - Create final, fully posed, colored, and in-between character animation based on provided storyboards - Embellish character action and emotion - Strong character acting ability, solid sense of comedic timing, high- quality draftsmanship, and drawing abilities - Use of strongly developed critical eye with attention to detail - Work closely with the Animation Supervisors and Leads - Defining, and maintaining high-end cinematic animations. - Assist in supporting and evolving the Design team with constructive feedback both technically and artistically. March 2021 – February 2022 (Part-time) 2D Spine animator Melior Games - Animate multiple loops and cycles of the main character - Create and update characters within the program Spine - Communicate with the Product Owner and Project Manager"
2D Animator,Basic,1.0,"Created a lot of gifs and animations in 2D Spine. Practicing artist, I participate in exhibitions in Ukraine and abroad. I teach academic painting and drawing in an art studio. 2D Spine animator, handraw and digital illustrator. 2D Spine, Adobe Photoshop I create animations for games, gif animations, animated logos, animations for UI design. I have an art education and I teacher in art studio. I want to create various kinds of animations for games, websites, I am also interested in classic hand-drawn animation.","Created a lot of gifs and animations in 2D Spine. Practicing artist, I participate in exhibitions in Ukraine and abroad. I teach academic painting and drawing in an art studio.","I want to create various kinds of animations for games, websites, I am also interested in classic hand-drawn animation.","2D Spine animator, handraw and digital illustrator. 2D Spine, Adobe Photoshop I create animations for games, gif animations, animated logos, animations for UI design. I have an art education and I teacher in art studio."
2D Animator,Intermediate,2.0,"I can perform such tasks as: rigging, character animation, background animation, creating VFX, including frame by frame. I confidently work in such programs as: Spine, Photoshop, After Effects, Particular. I am sociable and able to work in a team. Ready for cooperation and interesting projects. I am happy to learn new things and improve my skills.",Not stated,Not stated,"I can perform such tasks as: rigging, character animation, background animation, creating VFX, including frame by frame. I confidently work in such programs as: Spine, Photoshop, After Effects, Particular. I am sociable and able to work in a team. Ready for cooperation and interesting projects. I am happy to learn new things and improve my skills."
2D Animator,Intermediate,2.0,"I created 48 animations within a short time period for the Halloween event in the ""Open House"" project, which helped ensure the event launched on time. I also managed the game locations in ""Design Show"" and maintained a consistent visual style throughout. I worked for Integra Games company for one year. During my time there, I was responsible for creating animations for the mobile games ""Design Show"" with over 100K+ downloads, as well as providing support for the game ""Open House"" with over 5M+ downloads. I used programs like Spine 2D, Adobe Photoshop, and After Effects in my work. Main responsibilities: 1. Preparing artwork for animation, including image slicing and adding missing details. 2. Creating character and object animations. 3. Generating effects such as fire, water, and particle work. 4. Designing animations for match-3 grids and creating UI animations. 5. Exporting animations. 6. Optimizing existing animations. My job expectations are simple: challenging and interesting tasks and a friendly team.","I created 48 animations within a short time period for the Halloween event in the ""Open House"" project, which helped ensure the event launched on time. I also managed the game locations in ""Design Show"" and maintained a consistent visual style throughout.",My job expectations are simple: challenging and interesting tasks and a friendly team.,"I worked for Integra Games company for one year. During my time there, I was responsible for creating animations for the mobile games ""Design Show"" with over 100K+ downloads, as well as providing support for the game ""Open House"" with over 5M+ downloads. I used programs like Spine 2D, Adobe Photoshop, and After Effects in my work. Main responsibilities: 1. Preparing artwork for animation, including image slicing and adding missing details. 2. Creating character and object animations. 3. Generating effects such as fire, water, and particle work. 4. Designing animations for match-3 grids and creating UI animations. 5. Exporting animations. 6. Optimizing existing animations."
2D Animator,Intermediate,3.0,"- Proficiency in Spine 2D, Adobe Photoshop and Adobe Illustrator software packages; - Knowledge of classic animation principles; - Cutting and preparing art for animation; - Bone rigging and setup; - Mesh deformation; - Skin tool; - Understanding of export settings; - Some proficiency in Adobe After Effects and Zbrush; - Digital drawing skills; - Ability to adapt to new technologies. Working with friendly team. Interesting projects. Opportunity of skill improvement and professional growth.",Not stated,Working with friendly team. Interesting projects. Opportunity of skill improvement and professional growth.,"- Proficiency in Spine 2D, Adobe Photoshop and Adobe Illustrator software packages; - Knowledge of classic animation principles; - Cutting and preparing art for animation; - Bone rigging and setup; - Mesh deformation; - Skin tool; - Understanding of export settings; - Some proficiency in Adobe After Effects and Zbrush; - Digital drawing skills; - Ability to adapt to new technologies."
2D Animator,Not stated,4.0,"Experience with 2D animation - over 4 years. Main directions: character animation, dialogues, locations and environments, game objects, UI and vfx. The main working tools are Spine, After Effects, Photoshop.",Not stated,Not stated,"Experience with 2D animation - over 4 years. Main directions: character animation, dialogues, locations and environments, game objects, UI and vfx. The main working tools are Spine, After Effects, Photoshop."
2D Animator,Intermediate,0.0,"I graduated from ArtCraft School as a junior 2D Spine Animator. Working with a mesh, variations of highlights. Working with layers and overlay effects. Using a mask. Shift in animation, adjustable limiters. Graphs - smooth start and end of movement. Inertia. Using paths. Various techniques for working with the animation timeline and keys. Working with the functionality of bones. Motion blur effect. Skins. Combined skins. Hard limits. Animation approaches when creating walking, running, jumping and other animations. Events in the spine, sound events. Using a loop frame etc Hello :) I am a 2D Spine animator with experience in creating my own animations. So far, I have no experience in gamedev, but I strive to become a master of my craft I'm trying to find a project that will take a newbie into the team :) I am interested in further education and continuous development in this field to improve my skills","I graduated from ArtCraft School as a junior 2D Spine Animator. Working with a mesh, variations of highlights. Working with layers and overlay effects. Using a mask. Shift in animation, adjustable limiters. Graphs - smooth start and end of movement. Inertia. Using paths. Various techniques for working with the animation timeline and keys. Working with the functionality of bones. Motion blur effect. Skins. Combined skins. Hard limits. Animation approaches when creating walking, running, jumping and other animations. Events in the spine, sound events. Using a loop frame etc",I am interested in further education and continuous development in this field to improve my skills,"Hello :) I am a 2D Spine animator with experience in creating my own animations. So far, I have no experience in gamedev, but I strive to become a master of my craft I'm trying to find a project that will take a newbie into the team :)"
2D Animator,Not stated,3.0,"Creating difficult set-up for multy-skins animations Leading team of two persons for the most efficient result (never missed deadlines!) Creating unique VFX with hand-drawn sprites made by me. Hi there :) I am a passionate 2D animator with a diverse range of projects under my belt. I have worked on casual games for mobiles and PC, gambling games as slots, bingos or soliters, NSFW games, NFTs games and tokens, game ads and etc. I am able to adapt to different art styles and work well in a team environment. Trello, Jira, Bootcamp, daily reports in skype or somewhere else? It is okay, will do it. I also have an experience as a lead animator that means I can create and explain tasks, give proper feedback and read game design documents if needed. Anyway, I also want to add that I am currently in Bulgaria, Sofia. And that I have some experience with shaders and VFX graphs in Unity. And that if you think that I could make your team stronger - feel free to start write. That's it for now. Have a nice day!",Creating difficult set-up for multy-skins animations Leading team of two persons for the most efficient result (never missed deadlines!) Creating unique VFX with hand-drawn sprites made by me.,Not stated,"Hi there :) I am a passionate 2D animator with a diverse range of projects under my belt. I have worked on casual games for mobiles and PC, gambling games as slots, bingos or soliters, NSFW games, NFTs games and tokens, game ads and etc. I am able to adapt to different art styles and work well in a team environment. Trello, Jira, Bootcamp, daily reports in skype or somewhere else? It is okay, will do it. I also have an experience as a lead animator that means I can create and explain tasks, give proper feedback and read game design documents if needed. Anyway, I also want to add that I am currently in Bulgaria, Sofia. And that I have some experience with shaders and VFX graphs in Unity. And that if you think that I could make your team stronger - feel free to start write. That's it for now. Have a nice day!"
2D Animator,Intermediate,5.0,"I have always succeed in my projects and have been one of the best team players with a great result which would make happy customers and the team. I have got a wide range of experience in Animation area for over 5 years. Creative enthusiast for 12 years. Using technologies: Animation (HTML5 for Google Web Design, Adobe After Effects, Adobe Photoshop, Adobe Animate), Design (Adobe Photoshop, Adobe Illustrator), Video Editing (Adobe Premiere Pro, DaVinci Resolve). Good collaboration with a team and work. Comfortable environment and interesting project.",I have always succeed in my projects and have been one of the best team players with a great result which would make happy customers and the team.,Good collaboration with a team and work. Comfortable environment and interesting project.,"I have got a wide range of experience in Animation area for over 5 years. Creative enthusiast for 12 years. Using technologies: Animation (HTML5 for Google Web Design, Adobe After Effects, Adobe Photoshop, Adobe Animate), Design (Adobe Photoshop, Adobe Illustrator), Video Editing (Adobe Premiere Pro, DaVinci Resolve)."
2D Animator,Intermediate,3.0,I've been working as a 2d animator and motion designer in a studio and freelancer. I am really passionate about characters and bringing their stories to life. creativity is the thing that cheers me up and encourages me to work hours and hours!,Not stated,Not stated,I've been working as a 2d animator and motion designer in a studio and freelancer. I am really passionate about characters and bringing their stories to life. creativity is the thing that cheers me up and encourages me to work hours and hours!
2D Animator,Not stated,4.0,"09.2019 – 05.2023 Middle Motion Designer Fabiosa Media Kyiv, Ukraine Used After Effects and Adobe Character to create over eight 2D animations per month. Collaborated with the Illustration department to achieve the highest quality animation in a short period of time. Took part in workflow improvement. Learned various animation programs to improve a final product. 01.2019 – 09.2019 Motion Designer / Graphic Designer Freelance Kyiv, Ukraine Created over 30 animated videos for different clients both for B2B and B2C. Combined technical and artistic abilities to create advertising posts for social media. Monitored social media and online sources for industry trends.",Not stated,Not stated,"09.2019 – 05.2023 Middle Motion Designer Fabiosa Media Kyiv, Ukraine Used After Effects and Adobe Character to create over eight 2D animations per month. Collaborated with the Illustration department to achieve the highest quality animation in a short period of time. Took part in workflow improvement. Learned various animation programs to improve a final product. 01.2019 – 09.2019 Motion Designer / Graphic Designer Freelance Kyiv, Ukraine Created over 30 animated videos for different clients both for B2B and B2C. Combined technical and artistic abilities to create advertising posts for social media. Monitored social media and online sources for industry trends."
2D Animator,Not stated,11.0,"2d Animator character, objects animation and landscape animation in such organizations as: Maste video ( over 5 years) ERS games, 1 plus 1 media (plusplus channel) (over 6 years) + series of animation of ""unconquered""",Not stated,Not stated,"2d Animator character, objects animation and landscape animation in such organizations as: Maste video ( over 5 years) ERS games, 1 plus 1 media (plusplus channel) (over 6 years) + series of animation of ""unconquered"""
2D Animator,Advanced,4.0,"have just over four years of experience in graphic design and motion graphics. During this time I worked on projects alone and as part of a collaborative team creating visual content both in print and digital. My experience in design varies. I have done logos, animation web design, User experience and user interface design, posters, explainer videos, brochures, infographics, book covers and even a board game. I am looking for new challenges in my career, I think it is the perfect place for me to grow as a designer.",Not stated,"I am looking for new challenges in my career, I think it is the perfect place for me to grow as a designer.","have just over four years of experience in graphic design and motion graphics. During this time I worked on projects alone and as part of a collaborative team creating visual content both in print and digital. My experience in design varies. I have done logos, animation web design, User experience and user interface design, posters, explainer videos, brochures, infographics, book covers and even a board game."
2D Animator,Not stated,1.5,"I have 2 year experience making character animations and commercials in After Effects. I work with Duik Bassel. Also I have experience editing videos i n Premiere Pro in the Lviv media hub ""Tvoye Misto"". I",Not stated,I,"I have 2 year experience making character animations and commercials in After Effects. I work with Duik Bassel. Also I have experience editing videos i n Premiere Pro in the Lviv media hub ""Tvoye Misto""."
2D Animator,Not stated,6.0,"I'm interested in the position of Animator. I don’t have much experience in 3D, but I've been working as an animator for more than 6 years, generally in Unity and Spine, but also I know Maya and Blender, quite familiar with Photoshop. I can do all the sprite and mesh work (layer prep., export, etc.) for animation. I can make VFX using Unity and Unreal Engine. I've got almost 5 years experience in game dev, so I am comfortable with prod. flow (git, Jira, confluence, etc)",Not stated,Not stated,"I'm interested in the position of Animator. I don’t have much experience in 3D, but I've been working as an animator for more than 6 years, generally in Unity and Spine, but also I know Maya and Blender, quite familiar with Photoshop. I can do all the sprite and mesh work (layer prep., export, etc.) for animation. I can make VFX using Unity and Unreal Engine. I've got almost 5 years experience in game dev, so I am comfortable with prod. flow (git, Jira, confluence, etc)"
2D Animator,Advanced,5.0,"I've worked at a startup animation company called Artfrecan Creators, I worked as one of the animators for about two years (2018-2019) and left the company to work as a freelancer. During my time there, softwares like Moho, TvPaint, Adobe Photoshop and Adobe After Effects were used to create animations. After leaving the company to work as a freelancer, I further developed my skill and became familiar with other softwares like, Adobe Animate, Clip Studio Paint and Toon Boom. I desire a healthy work experience",Not stated,I desire a healthy work experience,"I've worked at a startup animation company called Artfrecan Creators, I worked as one of the animators for about two years (2018-2019) and left the company to work as a freelancer. During my time there, softwares like Moho, TvPaint, Adobe Photoshop and Adobe After Effects were used to create animations. After leaving the company to work as a freelancer, I further developed my skill and became familiar with other softwares like, Adobe Animate, Clip Studio Paint and Toon Boom."
2D Animator,Intermediate,9.0,"Work Experience: 2004-2014 - Graphic designer; 2014-2015 - 3d artist; 2015-2017 - Concept artist and animation artist; 2017-present - 2d-3d animator. Activities: - creating 2d adn 3d animation and videos; - VFX experience; - 3d modeling and visualization; - create high and low-poly models; - rigging, texturing and sceleton animation; - character design; - illustrations and concept art; - UI designe and animation.",Not stated,Not stated,"Work Experience: 2004-2014 - Graphic designer; 2014-2015 - 3d artist; 2015-2017 - Concept artist and animation artist; 2017-present - 2d-3d animator. Activities: - creating 2d adn 3d animation and videos; - VFX experience; - 3d modeling and visualization; - create high and low-poly models; - rigging, texturing and sceleton animation; - character design; - illustrations and concept art; - UI designe and animation."
2D Animator,Intermediate,1.5,"Hi there! My name is Artur and I am a 2d spine/after effects animator with a year and a half experience who is actively developing myself in the direction of different kinds of animation. I have more of a passion for the games industry and any animation related to the games, but also never get scared of working in after effects for any other projects. Animation ignites me and gives me the opportunity to turn my ideas into reality, and that's why I'm here. I work in programs like spine 2d and After Effects. The tasks I perform are : -Character animation -Vfx; -2.5d animation -UI animation -Background animation etc. I have gone through various courses at different animation schools and am constantly improving my skills by freelancing for various clients. But I am also interested in developing and contributing to teamwork. I'm ready to be part of cool and interesting projects and make them better and more interesting.",Not stated,Not stated,"Hi there! My name is Artur and I am a 2d spine/after effects animator with a year and a half experience who is actively developing myself in the direction of different kinds of animation. I have more of a passion for the games industry and any animation related to the games, but also never get scared of working in after effects for any other projects. Animation ignites me and gives me the opportunity to turn my ideas into reality, and that's why I'm here. I work in programs like spine 2d and After Effects. The tasks I perform are : -Character animation -Vfx; -2.5d animation -UI animation -Background animation etc. I have gone through various courses at different animation schools and am constantly improving my skills by freelancing for various clients. But I am also interested in developing and contributing to teamwork. I'm ready to be part of cool and interesting projects and make them better and more interesting."
2D Animator,Intermediate,2.5,"Creating 2D concept arts of environments, characters, interface and other active elements in hypercasual mobile games. Interaction with the department of 3D artists for coordinated work on projects. Monitoring compliance with the given stylistics during the development of projects at all stages. Developing final graphics for games on PC and on mobile platforms, preparing them for further animation. Animation of UI, characters and environment in Spine. Animation with Unity for 2d mobile games. Experience in creating brand identities, logo designs for social networks and printed products. Developing a visual for branded stickers, stamps and packaging. I am interested in making impressive concept arts and animations for mobile and computer games. Ready for working with advertisement art and typographic products such as banners, designs of icons for store e.t.c.",Not stated,"I am interested in making impressive concept arts and animations for mobile and computer games. Ready for working with advertisement art and typographic products such as banners, designs of icons for store e.t.c.","Creating 2D concept arts of environments, characters, interface and other active elements in hypercasual mobile games. Interaction with the department of 3D artists for coordinated work on projects. Monitoring compliance with the given stylistics during the development of projects at all stages. Developing final graphics for games on PC and on mobile platforms, preparing them for further animation. Animation of UI, characters and environment in Spine. Animation with Unity for 2d mobile games. Experience in creating brand identities, logo designs for social networks and printed products. Developing a visual for branded stickers, stamps and packaging."
2D Animator,Basic,1.0,"Work experience: Animator 2D (Spine) (CatalystApps) - 10.2022 - present time - Animation for games using Spine 2D - Rigging and weighting characters in Spine 2D - Keyframe animation and motion paths - Emotional animations and facial expressions - Special effects animation - Strong attention to detail and ability to work with direction Education: Animationschool (Playrix) - 05.2022-08.2022 - Animation in the spine, 1st grade. - Animation in the spine, 2nd grade. Rig and advanced tricks.",Not stated,Not stated,"Work experience: Animator 2D (Spine) (CatalystApps) - 10.2022 - present time - Animation for games using Spine 2D - Rigging and weighting characters in Spine 2D - Keyframe animation and motion paths - Emotional animations and facial expressions - Special effects animation - Strong attention to detail and ability to work with direction Education: Animationschool (Playrix) - 05.2022-08.2022 - Animation in the spine, 1st grade. - Animation in the spine, 2nd grade. Rig and advanced tricks."
